release_version,schema_version,release_source_id,internal_source_id,release_source_document_id,internal_source_document_id,source_type,source_name,version_tag,external_id,doc_date,url,content_hash,retrieved_at_utc,created_at_utc
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:afe896b49a7145266bc8347f,30960,CR,Congressional Record JSON,crec_json,CREC-2014-02-14-pt1-PgH1775-6.json,2014-02-14,,04f64c54aef0db5cfd5eaf6314866fa1feaac22489e23f886cadcd853d1d8381,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:a2f2200550b43bda11299de2,31029,CR,Congressional Record JSON,crec_json,CREC-2014-02-21-pt1-PgH1781-6.json,2014-02-21,,ea1f4da3db7d16fab6038ee5b589fa5bf65fd3748de9dca492507aa6182ab13c,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:909c1b2678ec506a25cf12b3,31217,CR,Congressional Record JSON,crec_json,CREC-2014-02-25-pt1-PgH1935-2.json,2014-02-25,,9e82fd59023931e75617c66981e76e560c2c341471a1edb5d9d14a5b1fc62dfa,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:c71ef435e828c3a972157d34,34210,CR,Congressional Record JSON,crec_json,CREC-2014-04-01-pt1-PgH2751-10.json,2014-04-01,,902830e6c37bacf782e6e5e814aa77dbc99225554c788c0f5ad030c59f245eeb,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:f4abe0688f6b4e91c3a2cf86,34647,CR,Congressional Record JSON,crec_json,CREC-2014-04-03-pt1-PgH2885-2.json,2014-04-03,,2ff10a1613c024eb3c89e534df39fb42eb8f318f321e74651026c18793b90fb0,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:cc55177a3d183c1a1716abfc,34648,CR,Congressional Record JSON,crec_json,CREC-2014-04-03-pt1-PgH2885-3.json,2014-04-03,,b2f75c7c5a1a79498378cd1a23f782c44bb9af201579523e2044ad09e391a5fd,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:5496938a4d443a41ad9bf534,35768,CR,Congressional Record JSON,crec_json,CREC-2014-04-28-pt1-PgH3221.json,2014-04-28,,a29ca24d1000ec569c09687fe94e2c470b02c2e222414857dbe83470fee7dfd3,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:7f57a4b4f3c8e159c2a0b410,38054,CR,Congressional Record JSON,crec_json,CREC-2014-05-20-pt1-PgH4487-2.json,2014-05-20,,d38c9f9109363dfcfc5df08866c28787dba34c0c2138724b8c0836fdb771e9ca,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:cefc4c7ab589c83751245a74,38975,CR,Congressional Record JSON,crec_json,CREC-2014-05-29-pt1-PgH4927-3.json,2014-05-29,,2ea28a6b43e7f1119df66e21801101ffccdd4bdd0aa92475447627abafe518da,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:1cf0e8d1c4ebe4e46c78aca5,54976,CR,Congressional Record JSON,crec_json,CREC-2015-02-09-pt1-PgH859-8.json,2015-02-09,,68e432f6bc000b3759b01ca85be76a45372ec597d4fe76791668a482116cb5e9,,
